id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
1101,11,1,北京,b,bei jing,110100000000,北京市
1201,12,1,天津,t,tian jin,120100000000,天津市
1301,13,1,石家庄,s,shi jia zhuang,130100000000,石家庄市
1302,13,1,唐山,t,tang shan,130200000000,唐山市
1303,13,1,秦皇岛,q,qin huang dao,130300000000,秦皇岛市
1304,13,1,邯郸,h,han dan,130400000000,邯郸市
1305,13,1,邢台,x,xing tai,130500000000,邢台市
1306,13,1,保定,b,bao ding,130600000000,保定市
1307,13,1,张家口,z,zhang jia kou,130700000000,张家口市
1308,13,1,承德,c,cheng de,130800000000,承德市
1309,13,1,沧州,c,cang zhou,130900000000,沧州市
1310,13,1,廊坊,l,lang fang,131000000000,廊坊市
1311,13,1,衡水,h,heng shui,131100000000,衡水市
1401,14,1,太原,t,tai yuan,140100000000,太原市
1402,14,1,大同,d,da tong,140200000000,大同市
1403,14,1,阳泉,y,yang quan,140300000000,阳泉市
1404,14,1,长治,c,chang zhi,140400000000,长治市
1405,14,1,晋城,j,jin cheng,140500000000,晋城市
1406,14,1,朔州,s,shuo zhou,140600000000,朔州市
1407,14,1,晋中,j,jin zhong,140700000000,晋中市
1408,14,1,运城,y,yun cheng,140800000000,运城市
1409,14,1,忻州,x,xin zhou,140900000000,忻州市
1410,14,1,临汾,l,lin fen,141000000000,临汾市
1411,14,1,吕梁,l,lv liang,141100000000,吕梁市
1501,15,1,呼和浩特,h,hu he hao te,150100000000,呼和浩特市
1502,15,1,包头,b,bao tou,150200000000,包头市
1503,15,1,乌海,w,wu hai,150300000000,乌海市
1504,15,1,赤峰,c,chi feng,150400000000,赤峰市
1505,15,1,通辽,t,tong liao,150500000000,通辽市
1506,15,1,鄂尔多斯,e,e er duo si,150600000000,鄂尔多斯市
1507,15,1,呼伦贝尔,h,hu lun bei er,150700000000,呼伦贝尔市
1508,15,1,巴彦淖尔,b,ba yan nao er,150800000000,巴彦淖尔市
1509,15,1,乌兰察布,w,wu lan cha bu,150900000000,乌兰察布市
1522,15,1,兴安,x,xing an,152200000000,兴安盟
1525,15,1,锡林郭勒,x,xi lin guo le,152500000000,锡林郭勒盟
1529,15,1,阿拉善,a,a la shan,152900000000,阿拉善盟
2101,21,1,沈阳,s,shen yang,210100000000,沈阳市
2102,21,1,大连,d,da lian,210200000000,大连市
2103,21,1,鞍山,a,an shan,210300000000,鞍山市
2104,21,1,抚顺,f,fu shun,210400000000,抚顺市
2105,21,1,本溪,b,ben xi,210500000000,本溪市
2106,21,1,丹东,d,dan dong,210600000000,丹东市
2107,21,1,锦州,j,jin zhou,210700000000,锦州市
2108,21,1,营口,y,ying kou,210800000000,营口市
2109,21,1,阜新,f,fu xin,210900000000,阜新市
2110,21,1,辽阳,l,liao yang,211000000000,辽阳市
2111,21,1,盘锦,p,pan jin,211100000000,盘锦市
2112,21,1,铁岭,t,tie ling,211200000000,铁岭市
2113,21,1,朝阳,c,chao yang,211300000000,朝阳市
